,date,compound,positive,negative,neutral
122,2021-06-09,-0.6705,0.041,0.098,0.861
123,2021-06-10,0.9382,0.217,0.0,0.783
124,2021-06-11,0.9333,0.36,0.0,0.64
125,2021-06-12,0.6249,0.577,0.0,0.423
126,2021-06-13,0.9848,0.179,0.035,0.786
127,2021-06-14,0.9337,0.142,0.0,0.858
128,2021-06-15,0.8126,0.207,0.031,0.762
129,2021-06-16,0.976,0.247,0.025,0.728
130,2021-06-17,0.9153,0.137,0.0,0.863
131,2021-06-18,0.4588,1.0,0.0,0.0
132,2021-06-19,0.8622,0.375,0.0,0.625
133,2021-06-20,0.296,1.0,0.0,0.0
134,2021-06-21,0.4215,0.088,0.0,0.912
135,2021-06-22,0.128,0.036,0.026,0.938
136,2021-06-23,0.0,0.0,0.0,1.0
137,2021-06-24,0.9478,0.199,0.072,0.729
138,2021-06-25,0.978,0.165,0.034,0.801
139,2021-06-26,0.9293,0.174,0.0,0.826
140,2021-06-27,0.3182,1.0,0.0,0.0
141,2021-06-28,0.7579,0.231,0.0,0.769
142,2021-06-29,0.9463,0.108,0.03,0.861
143,2021-06-30,0.719,0.095,0.045,0.86
144,2021-07-01,0.9775,0.107,0.058,0.835
145,2021-07-02,-0.8047,0.048,0.095,0.858
146,2021-07-03,0.8678,0.116,0.043,0.841
147,2021-07-04,0.9393,0.165,0.0,0.835
148,2021-07-05,0.6486,0.062,0.028,0.911
149,2021-07-06,0.8,0.115,0.0,0.885
150,2021-07-07,0.2023,0.072,0.061,0.867
151,2021-07-08,0.9201,0.178,0.021,0.801
152,2021-07-09,0.969,0.162,0.081,0.757
153,2021-07-10,0.9924,0.15,0.039,0.811
154,2021-07-11,0.5994,0.085,0.0,0.915
155,2021-07-12,0.4939,0.11,0.0,0.89
156,2021-07-13,0.9393,0.257,0.057,0.686
157,2021-07-14,-0.8397,0.084,0.112,0.804
158,2021-07-15,0.9873,0.12,0.032,0.848
159,2021-07-16,0.6369,0.117,0.02,0.863
160,2021-07-17,0.8462,0.1,0.0,0.9
161,2021-07-18,0.928,0.252,0.024,0.724
162,2021-07-19,0.0,0.0,0.0,1.0
163,2021-07-20,0.7096,0.266,0.132,0.603
164,2021-07-21,-0.3182,0.037,0.079,0.884
165,2021-07-22,0.7572,0.096,0.062,0.842
166,2021-07-23,0.9875,0.195,0.04,0.765
167,2021-07-24,0.9337,0.123,0.061,0.816
168,2021-07-25,0.9719,0.188,0.013,0.799
169,2021-07-26,0.1894,0.04,0.032,0.928
170,2021-07-27,0.9907,0.2,0.066,0.735
171,2021-07-28,0.6808,0.211,0.0,0.789
172,2021-07-29,0.9813,0.178,0.029,0.793
173,2021-07-30,-0.7803,0.033,0.077,0.89
174,2021-07-31,-0.6276,0.084,0.099,0.817
175,2021-08-01,0.9495,0.122,0.056,0.823
176,2021-08-02,0.5994,0.196,0.0,0.804
177,2021-08-03,0.6652,0.078,0.05,0.873
178,2021-08-04,0.6116,0.102,0.068,0.83
179,2021-08-05,0.9759,0.219,0.086,0.695
180,2021-08-06,0.9797,0.117,0.06,0.823
181,2021-08-07,-0.4019,0.144,0.199,0.657
182,2021-08-09,0.0,0.0,0.0,1.0
183,2021-08-10,0.4391,0.075,0.0,0.925
184,2021-08-11,0.6249,0.046,0.0,0.954
185,2021-08-12,-0.2484,0.05,0.058,0.892
186,2021-08-13,-0.296,0.079,0.093,0.829
187,2021-08-14,0.9749,0.14,0.047,0.812
188,2021-08-15,0.7391,0.126,0.024,0.849
189,2021-08-16,0.6249,0.672,0.0,0.328
190,2021-08-17,0.5106,1.0,0.0,0.0
191,2021-08-18,0.8153,0.139,0.058,0.803
192,2021-08-19,-0.6486,0.0,0.11,0.89
193,2021-08-20,0.0,0.0,0.0,1.0
194,2021-08-21,0.5719,0.193,0.07,0.737
195,2021-08-23,0.1779,0.046,0.0,0.954
