Date,btc_open,btc_close,nasdaq_close,nyse_close,sp_close
2021-02-01,33114.578125,33537.175781,13403.3896484375,14596.1796875,3773.860107421875
2021-02-02,33533.199219,35510.289063,13612.7802734375,14768.580078125,3826.31005859375
2021-02-03,35510.820313,37472.089844,13610.5400390625,14839.0595703125,3830.169921875
2021-02-04,37475.105469,36926.066406,13777.740234375,14975.4296875,3871.739990234375
2021-02-05,36931.546875,38144.308594,13856.2998046875,15069.599609375,3886.830078125
2021-02-06,38138.386719,39266.011719,,,
2021-02-07,39250.191406,38903.441406,,,
2021-02-08,38886.828125,46196.464844,13987.6396484375,15226.6103515625,3915.590087890625
2021-02-09,46184.992188,46481.105469,14007.7001953125,15244.400390625,3911.22998046875
2021-02-10,46469.761719,44918.183594,13972.5302734375,15273.900390625,3909.8798828125
2021-02-11,44898.710938,47909.332031,14025.76953125,15297.08984375,3916.3798828125
2021-02-12,47877.035156,47504.851563,14095.4697265625,15369.599609375,3934.830078125
2021-02-13,47491.203125,47105.515625,,,
2021-02-14,47114.507813,48717.289063,,,
2021-02-15,48696.535156,47945.058594,,,
2021-02-16,47944.457031,49199.871094,14047.5,15423.01953125,3932.590087890625
2021-02-17,49207.277344,52149.007813,13965.490234375,15402.58984375,3931.330078125
2021-02-18,52140.972656,51679.796875,13865.3603515625,15290.6396484375,3913.969970703125
2021-02-19,51675.980469,55888.132813,13874.4599609375,15362.6904296875,3906.7099609375
2021-02-20,55887.335938,56099.519531,,,
2021-02-21,56068.566406,57539.945313,,,
2021-02-22,57532.738281,54207.320313,13533.0498046875,15340.4697265625,3876.5
2021-02-23,54204.929688,48824.425781,13465.2001953125,15359.1298828125,3881.3701171875
2021-02-24,48835.085938,49705.332031,13597.9697265625,15539.419921875,3925.429931640625
2021-02-25,49709.082031,47093.851563,13119.4296875,15206.669921875,3829.340087890625
2021-02-26,47180.464844,46339.761719,13192.349609375,15010.4697265625,3811.14990234375
2021-02-27,46344.773438,46188.453125,,,
2021-02-28,46194.015625,45137.769531,,,
2021-03-01,45159.503906,49631.242188,13588.830078125,15327.76953125,3901.820068359375
2021-03-02,49612.105469,48378.988281,13358.7900390625,15277.01953125,3870.2900390625
2021-03-03,48415.816406,50538.242188,12997.75,15199.1904296875,3819.719970703125
2021-03-04,50522.304688,48561.167969,12723.4697265625,14959.41015625,3768.469970703125
2021-03-05,48527.03125,48927.304688,12920.150390625,15251.830078125,3841.93994140625
2021-03-06,48899.230469,48912.382813,,,
2021-03-07,48918.679688,51206.691406,,,
2021-03-08,51174.117188,52246.523438,12609.16015625,15288.3798828125,3821.35009765625
2021-03-09,52272.96875,54824.117188,13073.8203125,15375.6298828125,3875.43994140625
2021-03-10,54824.011719,56008.550781,13068.830078125,15521.83984375,3898.81005859375
2021-03-11,55963.179688,57805.121094,13398.669921875,15648.0,3939.340087890625
2021-03-12,57821.21875,57332.089844,13319.8603515625,15715.2099609375,3943.340087890625
2021-03-13,57343.371094,61243.085938,,,
2021-03-14,61221.132813,59302.316406,,,
2021-03-15,59267.429688,55907.199219,13459.7099609375,15775.5,3968.93994140625
2021-03-16,55840.785156,56804.902344,13471.5703125,15669.2998046875,3962.7099609375
2021-03-17,56825.828125,58870.894531,13525.2001953125,15731.150390625,3974.1201171875
2021-03-18,58893.078125,57858.921875,13116.169921875,15589.08984375,3915.4599609375
2021-03-19,57850.441406,58346.652344,13215.240234375,15562.259765625,3913.10009765625
2021-03-20,58332.261719,58313.644531,,,
2021-03-21,58309.914063,57523.421875,,,
2021-03-22,57517.890625,54529.144531,13377.5400390625,15551.5595703125,3940.590087890625
2021-03-23,54511.660156,54738.945313,13227.7001953125,15346.5302734375,3910.52001953125
2021-03-24,54710.488281,52774.265625,12961.8896484375,15276.5595703125,3889.139892578125
2021-03-25,52726.746094,51704.160156,12977.6796875,15410.3701171875,3909.52001953125
2021-03-26,51683.011719,55137.3125,13138.73046875,15682.5400390625,3974.5400390625
2021-03-27,55137.566406,55973.511719,,,
2021-03-28,55974.941406,55950.746094,,,
2021-03-29,55947.898438,57750.199219,13059.650390625,15611.8798828125,3971.090087890625
2021-03-30,57750.132813,58917.691406,13045.3896484375,15626.1103515625,3958.550048828125
2021-03-31,58930.277344,58918.832031,13246.8701171875,15601.740234375,3972.889892578125
2021-04-01,58926.5625,59095.808594,13480.1103515625,15751.7001953125,4019.8701171875
2021-04-02,59098.878906,59384.3125,,,
2021-04-03,59397.410156,57603.890625,,,
2021-04-04,57604.839844,58758.554688,,,
2021-04-05,58760.875,59057.878906,13705.58984375,15870.33984375,4077.909912109375
2021-04-06,59171.933594,58192.359375,13698.3798828125,15877.9599609375,4073.93994140625
2021-04-07,58186.507813,56048.9375,13688.83984375,15838.849609375,4079.949951171875
2021-04-08,56099.914063,58323.953125,13829.3095703125,15886.5595703125,4097.169921875
2021-04-09,58326.5625,58245.003906,13900.1904296875,15956.3701171875,4128.7998046875
2021-04-10,58253.777344,59793.234375,,,
2021-04-11,59846.230469,60204.964844,,,
2021-04-12,60175.945313,59893.453125,13850.0,15977.4599609375,4127.990234375
2021-04-13,59890.019531,63503.457031,13996.099609375,15962.33984375,4141.58984375
