date,btc_open,btc_close,btc_volume,nasdaq_close,nyse_close,sp_close
2021-02-01,33114.578125,33537.175781,61400400660,13403.3896484375,14596.1796875,3773.860107421875
2021-02-02,33533.199219,35510.289063,63088585433,13612.7802734375,14768.580078125,3826.31005859375
2021-02-03,35510.820313,37472.089844,61166818159,13610.5400390625,14839.0595703125,3830.169921875
2021-02-04,37475.105469,36926.066406,68838074392,13777.740234375,14975.4296875,3871.739990234375
2021-02-05,36931.546875,38144.308594,58598066402,13856.2998046875,15069.599609375,3886.830078125
2021-02-06,38138.386719,39266.011719,71326033653,,,
2021-02-07,39250.191406,38903.441406,65500641143,,,
2021-02-08,38886.828125,46196.464844,101467222687,13987.6396484375,15226.6103515625,3915.590087890625
2021-02-09,46184.992188,46481.105469,91809846886,14007.7001953125,15244.400390625,3911.22998046875
2021-02-10,46469.761719,44918.183594,87301089896,13972.5302734375,15273.900390625,3909.8798828125
2021-02-11,44898.710938,47909.332031,81388911810,14025.76953125,15297.08984375,3916.3798828125
2021-02-12,47877.035156,47504.851563,76555041196,14095.4697265625,15369.599609375,3934.830078125
2021-02-13,47491.203125,47105.515625,70250456155,,,
2021-02-14,47114.507813,48717.289063,71248675228,,,
2021-02-15,48696.535156,47945.058594,77069903166,,,
2021-02-16,47944.457031,49199.871094,77049582886,14047.5,15423.01953125,3932.590087890625
2021-02-17,49207.277344,52149.007813,80820545404,13965.490234375,15402.58984375,3931.330078125
2021-02-18,52140.972656,51679.796875,52054723579,13865.3603515625,15290.6396484375,3913.969970703125
2021-02-19,51675.980469,55888.132813,63495496918,13874.4599609375,15362.6904296875,3906.7099609375
2021-02-20,55887.335938,56099.519531,68145460026,,,
2021-02-21,56068.566406,57539.945313,51897585191,,,
2021-02-22,57532.738281,54207.320313,92052420332,13533.0498046875,15340.4697265625,3876.5
2021-02-23,54204.929688,48824.425781,106102492824,13465.2001953125,15359.1298828125,3881.3701171875
2021-02-24,48835.085938,49705.332031,63695521388,13597.9697265625,15539.419921875,3925.429931640625
2021-02-25,49709.082031,47093.851563,54506565949,13119.4296875,15206.669921875,3829.340087890625
2021-02-26,47180.464844,46339.761719,350967941479,13192.349609375,15010.4697265625,3811.14990234375
2021-02-27,46344.773438,46188.453125,45910946382,,,
2021-02-28,46194.015625,45137.769531,53443887451,,,
2021-03-01,45159.503906,49631.242188,53891300112,13588.830078125,15327.76953125,3901.820068359375
2021-03-02,49612.105469,48378.988281,47530897720,13358.7900390625,15277.01953125,3870.2900390625
2021-03-03,48415.816406,50538.242188,53220811975,12997.75,15199.1904296875,3819.719970703125
2021-03-04,50522.304688,48561.167969,52343816680,12723.4697265625,14959.41015625,3768.469970703125
2021-03-05,48527.03125,48927.304688,48625928883,12920.150390625,15251.830078125,3841.93994140625
2021-03-06,48899.230469,48912.382813,34363564661,,,
2021-03-07,48918.679688,51206.691406,43137459378,,,
2021-03-08,51174.117188,52246.523438,48597428048,12609.16015625,15288.3798828125,3821.35009765625
2021-03-09,52272.96875,54824.117188,50912227385,13073.8203125,15375.6298828125,3875.43994140625
