,date,btc_open,btc_close,btc_volume,nasdaq_close,dji_close,sp_close,oil_close,gold_close,price_1d,price_2d,price_3d,nasdaq_1d,nasdaq_2d,nasdaq_3d,sp_1d,sp_2d,sp_3d,dji_1d,dji_2d,dji_3d,compound,positive,negative,neutral,return,return_1,return_2,return_3
2,2021-02-04,37475.105469,36926.066406,68838074392,13777.740234375,31055.900390625,3871.739990234375,56.22999954223633,1788.9000244140625,37472.089844,35510.289063,33537.175781,,,,,,,,,,-0.4228,0.06,0.132,0.808,,,,
3,2021-02-05,36931.546875,38144.308594,58598066402,13856.2998046875,31148.19921875,3886.830078125,56.84999847412109,1810.9000244140625,36926.066406,37472.089844,35510.289063,0.012284611399153267,-0.0001645684665440017,0.015622214267598356,0.010853322230420792,0.0010087690809532646,0.013898223484416938,0.010815815382146932,0.001176362016293231,0.015742128208610984,0.9237,0.118,0.045,0.837,0.03299138810523439,-0.014571470133455389,0.0552459817355897,0.05883361481850957
4,2021-02-06,38138.386719,39266.011719,71326033653,13987.6396484375,31385.80078125,3915.590087890625,57.970001220703125,1831.9000244140625,38144.308594,36926.066406,37472.089844,0.005701919834175451,0.012284611399153267,-0.0001645684665440017,0.003897495164625342,0.010853322230420792,0.0010087690809532646,0.002972022287683007,0.010815815382146932,0.001176362016293231,0.6249,0.136,0.0,0.864,0.029406828078578418,0.03299138810523439,-0.014571470133455389,0.0552459817355897
5,2021-02-07,39250.191406,38903.441406,65500641143,13987.6396484375,31385.80078125,3915.590087890625,57.970001220703125,1831.9000244140625,39266.011719,38144.308594,36926.066406,0.009478709727799739,0.005701919834175451,0.012284611399153267,0.007399348360373592,0.003897495164625342,0.010853322230420792,0.007628099487593243,0.002972022287683007,0.010815815382146932,0.7778,0.16,0.0,0.84,-0.009233693393530085,0.029406828078578418,0.03299138810523439,-0.014571470133455389
6,2021-02-08,38886.828125,46196.464844,101467222687,13987.6396484375,31385.80078125,3915.590087890625,57.970001220703125,1831.9000244140625,38903.441406,39266.011719,38144.308594,0.0,0.009478709727799739,0.005701919834175451,0.0,0.007399348360373592,0.003897495164625342,0.0,0.007628099487593243,0.002972022287683007,0.7269,0.102,0.047,0.851,0.18746473767935656,-0.009233693393530085,0.029406828078578418,0.03299138810523439
7,2021-02-09,46184.992188,46481.105469,91809846886,14007.7001953125,31375.80078125,3911.22998046875,58.36000061035156,1835.300048828125,46196.464844,38903.441406,39266.011719,0.0,0.0,0.009478709727799739,0.0,0.0,0.007399348360373592,0.0,0.0,0.007628099487593243,-0.1901,0.08,0.078,0.842,0.006161523959921977,0.18746473767935656,-0.009233693393530085,0.029406828078578418
8,2021-02-10,46469.761719,44918.183594,87301089896,13972.5302734375,31437.80078125,3909.8798828125,58.68000030517578,1840.5999755859373,46481.105469,46196.464844,38903.441406,0.0014341624018918697,0.0,0.0,-0.0011135249921484514,0.0,0.0,-0.00031861541687905337,0.0,0.0,0.3182,0.127,0.087,0.785,-0.03362488605272895,0.006161523959921977,0.18746473767935656,-0.009233693393530085
9,2021-02-11,44898.710938,47909.332031,81388911810,14025.76953125,31430.69921875,3916.3798828125,58.2400016784668,1824.9000244140625,44918.183594,46481.105469,46196.464844,-0.00251075632577924,0.0014341624018918697,0.0,-0.00034518493235935477,-0.0011135249921484514,0.0,0.001976045183109676,-0.00031861541687905337,0.0,0.3384,0.162,0.096,0.742,0.06659103725199489,-0.03362488605272895,0.006161523959921977,0.18746473767935656
10,2021-02-12,47877.035156,47504.851563,76555041196,14095.4697265625,31458.400390625,3934.830078125,59.470001220703125,1821.5999755859373,47909.332031,44918.183594,46481.105469,0.003810280369455299,-0.00251075632577924,0.0014341624018918697,0.0016624551635393559,-0.00034518493235935477,-0.0011135249921484514,-0.00022589247095916587,0.001976045183109676,-0.00031861541687905337,0.8271,0.18,0.0,0.82,-0.008442623824065798,0.06659103725199489,-0.03362488605272895,0.006161523959921977
11,2021-02-13,47491.203125,47105.515625,70250456155,14047.5,31522.69921875,3932.590087890625,60.04999923706055,1797.199951171875,47504.851563,47909.332031,44918.183594,0.004969438229909917,0.003810280369455299,-0.00251075632577924,0.0047110331133788375,0.0016624551635393559,-0.00034518493235935477,0.0008813412543642318,-0.00022589247095916587,0.001976045183109676,0.0258,0.093,0.091,0.816,-0.008406213783668126,-0.008442623824065798,0.06659103725199489,-0.03362488605272895
